DP;DPNOM;COD_MUNICIPIO;MPNOM;AÑO;ÁREA GEOGRÁFICA;Total
20;Cesar;20228;Curumaní;2016;Total;35654
20;Cesar;20238;El Copey;2016;Total;29026
20;Cesar;20250;El Paso;2016;Total;34570
20;Cesar;20295;Gamarra;2016;Total;14240
20;Cesar;20310;González;2016;Total;4499
20;Cesar;20383;La Gloria;2016;Total;16010
20;Cesar;20400;La Jagua de Ibirico;2016;Total;43661
20;Cesar;20443;Manaure Balcón del Cesar;2016;Total;9506
20;Cesar;20517;Pailitas;2016;Total;17729
20;Cesar;20550;Pelaya;2016;Total;19536
20;Cesar;20570;Pueblo Bello;2016;Total;25141
20;Cesar;20614;Río de Oro;2016;Total;15924
20;Cesar;20621;La Paz;2016;Total;26364
20;Cesar;20710;San Alberto;2016;Total;24863
20;Cesar;20750;San Diego;2016;Total;18079
20;Cesar;20770;San Martín;2016;Total;24965
20;Cesar;20787;Tamalameque;2016;Total;14513
23;Córdoba;23001;Montería;2016;Total;478806
23;Córdoba;23068;Ayapel;2016;Total;47045
23;Córdoba;23079;Buenavista;2016;Total;20617
23;Córdoba;23090;Canalete;2016;Total;15071
23;Córdoba;23162;Cereté;2016;Total;103241
23;Córdoba;23168;Chimá;2016;Total;17041
23;Córdoba;23182;Chinú;2016;Total;46948
23;Córdoba;23189;Ciénaga de Oro;2016;Total;58047
23;Córdoba;23300;Cotorra;2016;Total;19070
23;Córdoba;23350;La Apartada;2016;Total;15093
23;Córdoba;23417;Lorica;2016;Total;114867
23;Córdoba;23419;Los Córdobas;2016;Total;18085
23;Córdoba;23464;Momil;2016;Total;19180
23;Córdoba;23466;Montelíbano;2016;Total;78682
23;Córdoba;23500;Moñitos;2016;Total;28837
23;Córdoba;23555;Planeta Rica;2016;Total;63538
23;Córdoba;23570;Pueblo Nuevo;2016;Total;34608
23;Córdoba;23574;Puerto Escondido;2016;Total;22874
23;Córdoba;23580;Puerto Libertador;2016;Total;40285
23;Córdoba;23586;Purísima de La Concepción;2016;Total;16797
23;Córdoba;23660;Sahagún;2016;Total;105129
23;Córdoba;23670;San Andrés Sotavento;2016;Total;46586
23;Córdoba;23672;San Antero;2016;Total;32818
23;Córdoba;23675;San Bernardo del Viento;2016;Total;36162
23;Córdoba;23678;San Carlos;2016;Total;26357
23;Córdoba;23682;San José de Uré;2016;Total;12531
23;Córdoba;23686;San Pelayo;2016;Total;51190
23;Córdoba;23807;Tierralta;2016;Total;90335
23;Córdoba;23815;Tuchín;2016;Total;49412
23;Córdoba;23855;Valencia;2016;Total;35002
25;Cundinamarca;25001;Agua de Dios;2016;Total;11014
25;Cundinamarca;25019;Albán;2016;Total;6038
25;Cundinamarca;25035;Anapoima;2016;Total;13311
25;Cundinamarca;25040;Anolaima;2016;Total;13072
25;Cundinamarca;25053;Arbeláez;2016;Total;10944
25;Cundinamarca;25086;Beltrán;2016;Total;1733
25;Cundinamarca;25095;Bituima;2016;Total;2370
25;Cundinamarca;25099;Bojacá;2016;Total;8915
25;Cundinamarca;25120;Cabrera;2016;Total;4427
25;Cundinamarca;25123;Cachipay;2016;Total;9334
25;Cundinamarca;25126;Cajicá;2016;Total;73490
25;Cundinamarca;25148;Caparrapí;2016;Total;12309
25;Cundinamarca;25151;Cáqueza;2016;Total;16219
25;Cundinamarca;25154;Carmen de Carupa;2016;Total;7311
25;Cundinamarca;25168;Chaguaní;2016;Total;4075
25;Cundinamarca;25175;Chía;2016;Total;118119
25;Cundinamarca;25178;Chipaque;2016;Total;8964
25;Cundinamarca;25181;Choachí;2016;Total;10430
25;Cundinamarca;25183;Chocontá;2016;Total;19098
25;Cundinamarca;25200;Cogua;2016;Total;20225
25;Cundinamarca;25214;Cota;2016;Total;29221
25;Cundinamarca;25224;Cucunubá;2016;Total;7129
25;Cundinamarca;25245;El Colegio;2016;Total;21968
25;Cundinamarca;25258;El Peñón;2016;Total;4590
25;Cundinamarca;25260;El Rosal;2016;Total;19963
25;Cundinamarca;25269;Facatativá;2016;Total;125326
25;Cundinamarca;25279;Fómeque;2016;Total;11325
25;Cundinamarca;25281;Fosca;2016;Total;5550
25;Cundinamarca;25286;Funza;2016;Total;83139
25;Cundinamarca;25288;Fúquene;2016;Total;4674
25;Cundinamarca;25290;Fusagasugá;2016;Total;125010
25;Cundinamarca;25293;Gachalá;2016;Total;4502
25;Cundinamarca;25295;Gachancipá;2016;Total;15147
25;Cundinamarca;25297;Gachetá;2016;Total;8296
25;Cundinamarca;25299;Gama;2016;Total;3042
25;Cundinamarca;25307;Girardot;2016;Total;93072
25;Cundinamarca;25312;Granada;2016;Total;6535
25;Cundinamarca;25317;Guachetá;2016;Total;12447
25;Cundinamarca;25320;Guaduas;2016;Total;28274
25;Cundinamarca;25322;Guasca;2016;Total;14313
25;Cundinamarca;25324;Guataquí;2016;Total;2654
25;Cundinamarca;25326;Guatavita;2016;Total;5925
25;Cundinamarca;25328;Guayabal de Síquima;2016;Total;4224
25;Cundinamarca;25335;Guayabetal;2016;Total;5793
25;Cundinamarca;25339;Gutiérrez;2016;Total;3286
25;Cundinamarca;25368;Jerusalén;2016;Total;2319
25;Cundinamarca;25372;Junín;2016;Total;5737
25;Cundinamarca;25377;La Calera;2016;Total;27322
25;Cundinamarca;25386;La Mesa;2016;Total;29823
25;Cundinamarca;25394;La Palma;2016;Total;9251
25;Cundinamarca;25398;La Peña;2016;Total;5813
25;Cundinamarca;25402;La Vega;2016;Total;15561
25;Cundinamarca;25407;Lenguazaque;2016;Total;9471
25;Cundinamarca;25426;Machetá;2016;Total;6009
25;Cundinamarca;25430;Madrid;2016;Total;99781
25;Cundinamarca;25436;Manta;2016;Total;3683
25;Cundinamarca;25438;Medina;2016;Total;7921
25;Cundinamarca;25473;Mosquera;2016;Total;114348
25;Cundinamarca;25483;Nariño;2016;Total;2145
25;Cundinamarca;25486;Nemocón;2016;Total;12043
